City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
Sangar,36,RU,1551684911,71,63.92,127.47,-6.49,2.3
Albany,90,US,1551684806,86,42.65,-73.75,30.99,4.7
Clyde River,1,CA,1551682800,82,70.47,-68.59,-18.41,3.36
Bathsheba,75,BB,1551682800,78,13.22,-59.52,77.0,19.46
Rikitea,32,PF,1551684912,99,-23.12,-134.97,80.18,13.04
Svolvaer,40,NO,1551684670,92,68.23,14.57,24.8,4.7
Villa Guerrero,0,MX,1551684912,75,21.98,-103.59,48.14,1.59
Vitim,0,RU,1551684913,65,59.44,112.57,17.59,2.53
Huejuquilla el Alto,0,MX,1551684913,74,22.63,-103.9,45.71,2.19
Lyubymivka,24,UA,1551684913,72,46.81,33.57,45.89,19.86
Half Moon Bay,90,US,1551684912,87,37.46,-122.43,53.6,3.36
Yulara,0,AU,1551684240,11,-25.24,130.99,102.2,18.34
Port Elizabeth,90,US,1551684912,93,39.31,-74.98,37.0,11.41
Hilo,90,US,1551684812,64,19.71,-155.08,71.01,10.29
Tilichiki,76,RU,1551684915,74,60.47,166.1,12.95,4.09
Yellowknife,5,CA,1551684860,58,62.45,-114.38,-0.01,8.05
Nikolskoye,75,RU,1551684634,92,59.7,30.79,23.0,6.71
Goderich,32,CA,1551684877,92,43.74,-81.71,15.01,5.5
Motygino,88,RU,1551684705,81,58.18,94.69,32.48,5.64
Bluff,8,AU,1551684917,37,-23.58,149.07,86.08,12.15
Atuona,0,PF,1551684917,100,-9.8,-139.03,82.03,13.44
Hermanus,92,ZA,1551684692,76,-34.42,19.24,73.0,4.0
College,1,US,1551684815,84,64.86,-147.8,19.4,4.72
Port Lincoln,0,AU,1551684918,89,-34.72,135.86,66.86,11.36
Aksarka,76,RU,1551684918,80,66.56,67.8,0.71,23.17
Port Alfred,0,ZA,1551684808,81,-33.59,26.89,75.0,7.0
Vaini,0,IN,1551682800,13,15.34,74.49,95.0,9.17
Grindavik,0,IS,1551684255,100,63.84,-22.43,33.01,18.34
Ushuaia,20,AR,1551682800,100,-54.81,-68.31,44.6,7.85
Isangel,75,VU,1551679200,74,-19.55,169.27,86.0,6.93
Reconquista,24,AR,1551684920,59,-29.14,-59.64,78.74,15.9
Mataura,76,NZ,1551684608,68,-46.19,168.86,64.99,8.99
Qaanaaq,56,GL,1551684921,75,77.48,-69.36,-4.02,5.28
Rabo de Peixe,75,PT,1551684913,77,37.8,-25.58,59.0,11.41
Mount Isa,90,AU,1551682800,26,-20.73,139.49,91.4,14.99
Sao Felix do Xingu,48,BR,1551684772,99,-6.64,-51.99,71.09,2.28
Esperance,20,TT,1551684619,94,10.24,-61.45,73.4,7.29
Castro,20,CL,1551682800,100,-42.48,-73.76,44.6,4.7
Punta Arenas,75,CL,1551684787,86,-53.16,-70.91,39.2,13.87
Hofn,44,IS,1551684924,100,64.25,-15.21,34.01,31.45
Varzelandia,0,BR,1551684924,81,-15.7,-44.03,70.46,6.51
San Juan del Sur,92,NI,1551684924,77,11.25,-85.87,78.16,16.06
Naze,76,NG,1551684925,93,5.43,7.07,81.8,10.13
Chuy,0,UY,1551684925,94,-33.69,-53.46,64.88,12.59
Chokurdakh,44,RU,1551684925,61,70.62,147.9,-21.21,2.98
Matiguas,56,NI,1551684926,90,12.84,-85.46,68.44,4.72
Jamestown,92,AU,1551684926,84,-33.21,138.6,74.29,3.6
Paliyad,0,IN,1551684927,27,22.26,71.56,86.62,8.41
Provideniya,80,RU,1551684927,94,64.42,-173.23,30.82,15.39
Broome,40,GB,1551684768,86,52.47,1.45,41.0,14.99
Tasiilaq,56,GL,1551684987,100,65.61,-37.64,15.88,14.12
Nome,90,US,1551684943,81,30.04,-94.42,44.6,12.75
Ilulissat,88,GL,1551682200,78,69.22,-51.1,14.0,4.7
Petropavlovsk-Kamchatskiy,0,RU,1551682800,41,53.05,158.65,23.0,15.66
Oksfjord,90,NO,1551682560,92,70.24,22.35,21.2,14.99
Hirara,20,JP,1551682800,60,24.8,125.28,69.8,13.87
Pulaski,90,US,1551684985,86,37.05,-80.78,37.99,12.75
Laguna,32,MX,1551684851,53,27.52,-110.01,58.13,3.76
Batagay-Alyta,64,RU,1551684990,69,67.8,130.41,-11.71,2.37
Khatanga,12,RU,1551684990,54,71.98,102.47,-11.04,3.2
Khargone,0,IN,1551684991,36,21.82,75.61,88.33,11.88
Severo-Kurilsk,48,RU,1551684991,100,50.68,156.12,23.84,16.46
Seoul,1,KR,1551684000,26,37.57,126.98,60.8,5.82
Tingo Maria,64,PE,1551684992,96,-9.29,-76.01,61.64,1.81
Faanui,68,PF,1551684992,98,-16.48,-151.75,84.19,4.99
Pangody,88,RU,1551684992,83,65.85,74.49,22.54,12.33
Taoudenni,0,ML,1551684992,16,22.68,-3.98,66.41,6.29
Barrow,88,AR,1551684993,88,-38.31,-60.23,63.89,13.04
Matay,0,EG,1551684993,47,28.42,30.79,68.84,4.72
Komsomolskiy,44,RU,1551684993,75,67.55,63.78,1.88,12.82
Alice Springs,0,AU,1551682800,10,-23.7,133.88,98.6,12.75
Kavieng,32,PG,1551684994,100,-2.57,150.8,84.23,3.83
Cabo San Lucas,5,MX,1551684688,39,22.89,-109.91,66.99,5.82
Arraial do Cabo,20,BR,1551684994,97,-22.97,-42.02,78.11,10.25
Acapulco,20,MX,1551681780,88,16.86,-99.88,77.0,3.36
Hobart,0,AU,1551684795,60,-42.88,147.33,68.0,13.87
Bonthe,0,SL,1551684995,81,7.53,-12.5,80.09,2.04
Busselton,0,AU,1551684911,11,-33.64,115.35,93.99,24.23
Liverpool,20,GB,1551684966,81,53.41,-2.98,44.6,20.8
Kodiak,1,US,1551684971,33,39.95,-94.76,1.99,5.82
Letterkenny,40,IE,1551682200,80,54.95,-7.73,39.2,10.29
Amga,80,RU,1551684997,68,60.89,131.98,1.57,4.09
Hithadhoo,20,MV,1551684997,100,-0.6,73.08,84.01,13.11
Aykhal,20,RU,1551684997,75,65.95,111.51,8.32,3.53
Sao Filipe,0,CV,1551684997,93,14.9,-24.5,70.96,17.13
Kapaa,90,US,1551684504,56,22.08,-159.32,69.8,16.11
Cedar City,90,US,1551684616,98,37.68,-113.06,32.0,5.82
Butaritari,80,KI,1551684998,100,3.07,172.79,83.96,16.91
Cidreira,0,BR,1551684998,85,-30.17,-50.22,72.53,11.77
Luderitz,0,NA,1551684999,90,-26.65,15.16,67.49,15.68
Cape Town,90,ZA,1551684971,93,-33.93,18.42,71.01,9.17
Ostrovnoy,20,RU,1551684999,75,68.05,39.51,1.93,11.54
Launceston,68,AU,1551684925,38,-41.43,147.14,75.2,18.34
Colesberg,0,ZA,1551685000,28,-30.72,25.1,85.09,4.83
Tafresh,0,IR,1551682800,52,34.69,50.01,41.0,0.96
Sovetskiy,56,RU,1551685000,98,56.76,48.47,15.29,4.54
Christchurch,0,NZ,1551684786,72,-43.53,172.64,70.0,4.7
Husavik,64,CA,1551684846,85,50.56,-96.99,-0.01,8.01
Karera,48,IN,1551685001,62,25.46,78.13,78.65,3.2
Ampanihy,36,MG,1551685002,94,-24.69,44.75,84.68,4.54
Saint George,0,GR,1551684207,75,39.45,22.34,48.2,3.18
Madimba,75,CM,1551682800,100,4.42,9.93,78.8,3.36
Wadi Maliz,20,TN,1551682800,93,36.47,8.55,44.6,3.27
Mwene-Ditu,32,CD,1551685003,100,-7.01,23.45,76.94,4.54
Upernavik,36,GL,1551685063,100,72.79,-56.15,6.2,8.9
Bethel,90,US,1551682560,80,60.79,-161.76,37.4,11.41
Avarua,88,CK,1551682800,74,-21.21,-159.78,78.8,5.82
Leningradskiy,88,RU,1551685065,97,69.38,178.42,19.7,9.31
Neuquen,0,AR,1551682800,41,-38.95,-68.06,60.8,5.82
Newport,75,GB,1551684964,86,51.59,-3.0,44.01,10.29
Mahebourg,75,MU,1551684846,70,-20.41,57.7,86.0,9.17
Taunggyi,20,MM,1551685066,37,20.78,97.03,79.46,8.41
Jiazi,40,CN,1551682800,74,19.61,110.49,80.6,11.18
East London,0,ZA,1551679200,69,-33.02,27.91,75.2,17.22
Kafanchan,0,NG,1551685067,42,9.58,8.3,85.4,4.61
Wilmington,90,US,1551685053,99,39.75,-75.55,34.0,10.29
Ferrol,20,ES,1551684904,81,43.48,-8.23,51.01,8.05
Ruidoso,1,US,1551685021,49,33.33,-105.67,54.0,11.41
Ambovombe,0,MG,1551684781,74,-25.18,46.09,86.53,5.41
Flinders,75,AU,1551684617,61,-34.58,150.85,86.0,8.05
Wanning,0,AT,1551685048,86,48.64,13.53,51.01,3.36
Aklavik,90,CA,1551682800,73,68.22,-135.01,19.4,4.7
Cockburn Town,0,TC,1551685069,95,21.46,-71.14,78.43,15.61
Richards Bay,0,ZA,1551685070,86,-28.77,32.06,82.25,8.34
Butterworth,75,MY,1551682800,49,5.4,100.37,93.2,13.87
Koslan,8,RU,1551685070,59,63.46,48.9,9.8,3.6
Puerto Escondido,0,MX,1551685071,100,15.86,-97.07,81.04,4.88
Dabat,12,ET,1551685071,21,12.98,37.77,82.61,2.71
Saint-Philippe,90,CA,1551685034,85,45.36,-73.48,25.0,5.82
Bredasdorp,56,ZA,1551684660,47,-34.53,20.04,77.0,6.93
Iqaluit,5,CA,1551684763,75,63.75,-68.52,-14.01,4.7
New Norfolk,0,AU,1551685041,60,-42.78,147.06,68.0,13.87
Namibe,75,AO,1551682800,83,-15.19,12.15,71.6,9.17
Kruisfontein,0,ZA,1551685073,66,-34.0,24.73,69.38,12.03
Babati,92,TZ,1551685073,100,-4.21,35.75,64.88,4.61
Norman Wells,75,CA,1551682800,72,65.28,-126.83,14.0,12.75
Puerto Ayora,80,EC,1551685073,100,-0.74,-90.35,77.08,2.75
Srednekolymsk,56,RU,1551684538,71,67.46,153.71,-6.15,4.59
Nizhniy Baskunchak,56,RU,1551685074,84,48.22,46.83,35.23,20.38
San Cristobal,75,EC,1551684642,76,-0.39,-78.55,57.2,4.7
Port Hedland,48,AU,1551682800,39,-20.31,118.58,98.6,17.22
Manavalakurichi,20,IN,1551682800,66,8.13,77.3,89.6,8.05
Salalah,0,OM,1551682200,45,17.01,54.1,82.4,2.24
Pingliang,88,CN,1551684723,61,35.54,106.68,35.01,3.2
Ribeira Grande,75,PT,1551682800,87,38.52,-28.7,59.0,12.75
Alghero,20,IT,1551682200,82,40.56,8.32,55.4,18.34
Sioux Lookout,75,CA,1551682800,76,50.1,-91.92,-11.21,5.82
Wladyslawowo,90,PL,1551684962,87,54.79,18.4,50.0,16.11
Dingle,8,PH,1551684637,54,11.0,122.67,86.44,12.68
Bucerias,5,MX,1551684907,100,20.76,-105.33,69.01,3.36
Kampot,20,KH,1551681000,58,10.62,104.18,87.8,8.05
Tiksi,48,RU,1551685077,66,71.64,128.87,-1.09,13.27
Pevek,88,RU,1551685078,89,69.7,170.27,3.68,9.53
Codrington,40,AU,1551684944,57,-28.95,153.24,80.6,10.29
Talnakh,80,RU,1551685078,80,69.49,88.39,18.71,18.3
Mataram,24,ID,1551685079,73,-5.32,105.06,85.04,4.5
Saskylakh,24,RU,1551685079,73,71.97,114.09,-6.63,12.15
Dikson,0,RU,1551685079,77,73.51,80.55,-4.02,6.33
Chicama,75,PE,1551682800,83,-7.84,-79.15,73.4,6.93
Port Hardy,90,CA,1551683580,74,50.7,-127.42,33.8,18.34
Mar del Plata,0,AR,1551685140,71,-46.43,-67.52,49.58,18.37
Hambantota,90,LK,1551683400,74,6.12,81.12,87.8,8.05
Soyo,75,AO,1551682800,94,-6.13,12.37,77.0,5.82
Sretensk,8,RU,1551685141,50,52.24,117.7,30.28,4.05
Kholodnyy,64,RU,1551685141,57,62.72,147.95,-14.55,2.53
Bara,0,NG,1551685142,21,10.41,10.6,88.96,8.63
Ocean City,90,US,1551685065,66,30.44,-86.61,51.01,18.34
Lebu,40,ET,1551682800,56,8.96,38.73,68.0,9.17
Alekseyevsk,0,RU,1551685143,61,57.84,108.35,22.31,2.3
Cape Canaveral,1,US,1551684745,88,28.41,-80.6,70.0,10.29
Dhuri,56,IN,1551685144,82,30.37,75.86,65.24,12.44
Reni,0,RO,1551682800,76,45.45,28.28,45.0,14.99
Bunol,20,ES,1551685085,42,39.42,-0.78,64.99,16.11
Healdsburg,90,US,1551684989,81,38.61,-122.87,53.6,5.06
Prachuap Khiri Khan,24,TH,1551685145,67,11.81,99.79,84.68,4.99
Shache,24,CN,1551685146,34,38.42,77.24,54.35,6.62
Poum,0,MK,1551682800,69,41.28,20.71,37.4,2.37
Maningrida,92,AU,1551685146,100,-12.05,134.23,76.18,8.57
Tuatapere,88,NZ,1551684608,68,-46.13,167.69,64.99,8.99
Makakilo City,90,US,1551685132,64,21.35,-158.09,71.6,4.7
Qurbus,0,TN,1551682800,71,36.82,10.57,50.0,6.93
Samarai,56,PG,1551685147,100,-10.62,150.67,82.39,8.34
Zhangjiakou,88,CN,1551685148,75,40.77,114.88,43.1,2.53
Adrar,0,DZ,1551682800,23,27.87,-0.29,51.8,6.93
Erenhot,12,CN,1551685148,16,43.65,111.97,47.38,9.31
Bambous Virieux,75,MU,1551685146,70,-20.34,57.76,86.0,9.17
Coahuayana,0,MX,1551685149,76,18.62,-100.35,59.66,2.08
Fort Nelson,5,CA,1551682800,83,58.81,-122.69,-5.81,4.7
Mayo,5,CA,1551682800,83,63.59,-135.9,-13.01,2.53
Kayerkan,88,RU,1551685150,81,69.35,87.76,18.8,19.82
Airai,64,TL,1551685150,83,-8.93,125.41,75.91,1.86
Aragats,90,AM,1551682800,80,40.22,44.23,35.6,2.24
Alexandria,90,US,1551685020,65,31.31,-92.44,42.8,11.41
Kawalu,80,ID,1551685151,79,-7.38,108.21,77.62,1.86
Hostotipaquillo,0,MX,1551685035,70,21.06,-104.05,57.99,1.81
Baruun-Urt,48,MN,1551685152,29,46.68,113.28,39.68,10.76
Tobermory,0,CA,1551684738,83,45.25,-81.67,-8.0,10.42
Charters Towers,64,AU,1551684702,78,-20.07,146.27,75.77,8.55
Neiafu,75,TO,1551679200,83,-18.65,-173.98,80.6,5.82
Sitka,24,US,1551684668,86,37.17,-99.65,5.0,4.0
Bocana de Paiwas,56,NI,1551685153,90,12.79,-85.12,68.44,4.72
San Pedro,92,AR,1551685136,98,-33.68,-59.66,62.01,5.99
Shirokiy,92,RU,1551685146,52,53.87,39.17,37.0,4.0
Lompoc,90,US,1551684853,87,34.64,-120.46,53.6,4.7
Fairbanks,1,US,1551684815,84,64.84,-147.72,8.6,4.72
Pacific Grove,90,US,1551684918,81,36.62,-121.92,54.0,5.82
Ponta Delgada,75,PT,1551685153,77,37.73,-25.67,59.0,11.41
Saldanha,8,PT,1551685156,85,41.42,-6.55,46.7,8.86
La Paz,24,MX,1551684702,75,24.15,-110.32,51.01,2.53
Bubaque,0,GW,1551685157,90,11.28,-15.83,77.08,18.41
Ponta do Sol,92,BR,1551685217,97,-20.63,-46.0,63.58,2.53
Lata,76,IN,1551685218,100,30.78,78.62,42.43,0.85
Rio Gallegos,0,AR,1551682800,80,-51.62,-69.22,41.0,8.05
Sur,0,OM,1551684641,95,22.57,59.53,71.36,13.47
Los Llanos de Aridane,40,ES,1551682800,59,28.66,-17.92,62.6,9.17
Igarka,88,RU,1551685219,88,67.47,86.57,23.44,20.09
Atar,0,MR,1551685219,23,20.52,-13.05,60.74,5.21
Karratha,20,AU,1551685082,34,-20.74,116.85,97.28,6.62
Geraldton,5,CA,1551682800,68,49.72,-86.95,-20.21,5.82
Tura,0,IN,1551685220,56,25.52,90.21,75.05,7.4
Tuktoyaktuk,48,CA,1551685220,91,69.44,-133.03,14.62,11.1
Marawi,12,PH,1551684659,75,8.0,124.29,81.0,8.01
Parana,90,BR,1551681900,100,-7.52,-72.89,75.2,2.53
Waingapu,48,ID,1551685221,96,-9.65,120.26,79.69,2.08
Tazovskiy,68,RU,1551684992,88,67.47,78.7,23.48,13.04
Georgetown,90,GY,1551682800,94,6.8,-58.16,73.4,6.93
Qianan,0,CN,1551685223,30,44.99,124.06,44.68,3.04
Nanortalik,88,GL,1551685223,100,60.14,-45.24,26.54,5.55
Chico,75,US,1551684940,81,39.73,-121.84,53.6,11.41
Asmar,0,AF,1551685224,78,35.03,71.36,52.73,2.37
Longyearbyen,40,NO,1551684000,76,78.22,15.63,-5.81,11.41
Erzin,75,TR,1551685187,93,36.95,36.2,55.99,3.53
Kysyl-Syr,24,RU,1551685225,72,63.9,122.77,5.89,5.1
Puerto del Rosario,40,ES,1551682800,67,28.5,-13.86,62.6,19.46
Deputatskiy,0,RU,1551685225,75,69.3,139.9,-26.34,2.37
Labuhan,36,ID,1551684715,83,-2.54,115.51,82.21,2.95
Santiago del Estero,0,AR,1551685226,63,-27.8,-64.26,81.31,15.17
Beringovskiy,80,RU,1551685226,92,63.05,179.32,32.3,23.22
Vestmannaeyjar,90,IS,1551682800,69,63.44,-20.27,37.4,13.87
Torbay,90,CA,1551684499,92,47.66,-52.73,21.99,12.75
Saint-Joseph,90,FR,1551685083,87,43.56,6.97,54.0,4.7
Fallon,1,US,1551682560,69,46.84,-105.12,-9.41,25.28
Goure,0,NE,1551685228,19,13.98,10.27,85.72,14.05
Tuy Hoa,0,VN,1551685043,69,13.08,109.3,82.12,12.66
Olbernhau,0,CZ,1551685210,65,50.66,13.35,55.0,3.36
Gubkinskiy,64,RU,1551685229,88,64.43,76.5,24.2,18.86
Sehithwa,0,BW,1551685229,26,-20.47,22.7,97.96,10.8
Troitsko-Pechorsk,64,RU,1551685229,58,62.71,56.19,7.64,5.28
Vata de Jos,24,RO,1551685230,66,46.18,22.6,46.21,3.09
Shimoda,75,JP,1551685212,76,34.7,138.93,55.4,20.8
Gazalkent,75,UZ,1551682800,58,41.57,69.78,53.6,4.7
Iracoubo,44,GF,1551685230,71,5.48,-53.21,76.49,7.29
Guapo,92,CN,1551685231,61,34.48,109.71,50.21,2.53
Lebanon,90,US,1551685031,86,43.64,-72.25,30.99,3.36
Bhor,0,IN,1551685232,34,18.15,73.84,86.53,6.85
Jinxiang,88,CN,1551685232,60,35.07,116.31,59.98,8.01
Atyrau,75,KZ,1551682800,74,47.1,51.92,37.4,24.61
Payo,48,ID,1551685233,80,-3.75,103.64,85.13,5.61
Awbari,0,LY,1551685233,46,26.59,12.77,65.15,4.5
Boralday,90,KZ,1551682800,70,43.36,76.86,46.4,4.47
Rocha,8,UY,1551685234,91,-34.48,-54.34,59.75,11.59
Galle,90,US,1551685231,69,29.74,-97.91,35.6,19.46
Lavrentiya,92,RU,1551685234,95,65.58,-170.99,30.01,32.5
Narok,0,KE,1551685235,82,-1.09,35.87,73.93,6.11
Port Macquarie,0,AU,1551684845,57,-31.43,152.91,81.0,18.34
Carnarvon,0,ZA,1551685235,34,-30.97,22.13,78.07,5.99
Okhotsk,0,RU,1551685236,100,59.36,143.24,6.43,5.84
